ISBN;C�digo;T�tulo;Grados;Colecci�n;A�o Lanzamiento;P�ginas;Interior;Peso;Tama�o;Precio;CodBarras;Imagen
978-987-24500-9-0;PS008;Cuentos fant�sticos que dan miedo;;La puerta secreta;2009;108;2 colores;;18,5cm. x 13,5cm.;$ 22,00;9789872450090;8
978-987-24500-8-3;PS009;Cu Chulain el valiente;;La Puerta Secreta;2009;116;4 colores;;18,5cm. x 13,5cm.;$ 22,00;9789872450083;9
978-987-24500-7-6;PS010;La cabeza del drag�n;;La Puerta Secreta;2009;112;4 colores;;18,5cm. x 13,5cm.;$ 22,00;9789872450076;10
978-987-1565-05-4;PS011;Cuentos que encantan;4, 5;La puerta secreta;2009;108;4 colores;;13,5 X 18,5;$ 22,00;9789871565054;0
978-987-1565-04-7;PS012;Peligro en alta mar;5, 6;La Puerta Secreta;2009;136;4 colores;;13,5 x 18,5;$ 24,00;9789871565047;0
978-987-1565-08-5;PS013;El viento en los sauces;;La Puerta Secreta;2010;0;;;;$ 0,00;0;0
978-987-1565-10-8;PS014;Cuentos con-ciencia;;La Puerta Secreta;2010;0;;;;$ 0,00;0;0
978-987-1565-15-3;PS015;Cuentos que parecen ciertos;;La puerta secreta;2010;104;4 colores;;18,5cm. x 13,5cm.;$ 0,00;9789871565153;0
978-987-1565-19-1;PS016;Cuentos que encierran misterios;;La puerta secreta;2011;0;;;;$ 0,00;0;0
978-987-1565-18-4;PS017;Dicen que los dioses� Mitos griegos 1;;La puerta secreta;2011;0;;;;$ 0,00;0;0
978-987-1565-20-7;PS018;La vida de un brib�n;;La puerta secreta;2011;0;;;;$ 0,00;0;0
978-987-1565-32-0;PS019;20.000 leguas de viaje submarino;;La Puerta Secreta;2012;176;;;;$ 0,00;0;0
978-987-1565-33-7;PS020;Los hijos del capit�n Grant;;La Puerta Secreta;2012;208;;;;$ 0,00;0;0
978-987-1565-45-0;PS021;�Cuentos que asustan?;5;La puerta secreta;2014;0;;;;$ 0,00;0;0
978-987-1565-22-1;SS001;El castillo encantado;;Sonsoles;2011;264;;;;$ 0,00;0;0
978-987-1565-24-5;SS002;La Lluvia y los cinco;;Sonsoles;2011;0;4 colore;;;$ 0,00;0;0
978-987-1565-28-3;SS003;El mago de Oz;;SonSoles;2012;0;;;;$ 0,00;0;0
978-987-1565-29-0;SS004;La flecha Negra;;SonSoles;2012;0;;;;$ 0,00;0;0
978-987-1565-37-5;SS005;La vuelta a la manzana;6;Sonsoles;2013;0;;;;$ 0,00;9789871565375;0
978-987-1565-38-2;SS006;Peter Pan;4;Sonsoles;2013;0;;;;$ 0,00;9789871565382;0
978-987-1565-46-7;SS007;El mundo perdido;7;Sonsoles;2014;0;;;;$ 0,00;0;0
